"interval_no","record_type","scale_no","scale_level","interval_name","abbrev","parent_no","color","max_ma","mid_ma","min_ma","reference_no","temperature_stage","ext_temperature_stage_modern","ext_temperature_stage_eocene"
138,"int",1,5,"Ladinian","Lad",45,"#C983BF",242,239.5,237,47900,31.1714273388185,26.6393760049158,29.7671490804386
139,"int",1,5,"Anisian","Ani",45,"#BC75B7",247.2,244.6,242,47900,32.0628273244438,20.4206738342453,28.6829788621745
652,"int",1,5,"Olenekian","Ole",46,"#B051A5",251.2,249.2,247.2,47900,41.1443889101714,5.66945242959314,24.7027246454155
653,"int",1,5,"Induan","Ind",46,"#A4469F",252.17,251.685,251.2,47900,NA,NA,NA
715,"int",1,5,"Changhsingian","Cha",771,"#FCC0B2",254.17,253.17,252.17,9184,26.9179366292429,26.8775673661451,30.7543746184486
716,"int",1,5,"Wuchiapingian","Wuc",771,"#FCB4A2",259.9,257.035,254.17,9184,29.0571843088908,25.7747483600952,29.948250501674
145,"int",1,5,"Capitanian","Cap",772,"#FB9A85",265.1,262.5,259.9,5954,23.7183734757811,24.9790849158818,30.7310450703933
146,"int",1,5,"Wordian","Wor",772,"#FB8D76",268.8,266.95,265.1,5954,23.304687529704,23.1702977967341,29.5201879933688
717,"int",1,5,"Roadian","Roa",772,"#FB8069",272.3,270.55,268.8,9184,29.3156518343771,23.6443263173828,29.5996279637544
148,"int",1,5,"Kungurian","Kun",773,"#E38776",279.3,275.8,272.3,5954,28.1742607353374,24.3627679751079,29.1691556720003
149,"int",1,5,"Artinskian","Art",773,"#E37B68",290.1,284.7,279.3,5954,33.497811337614,26.2574793686433,30.5672025742494
150,"int",1,5,"Sakmarian","Sak",773,"#E36F5C",295.5,292.8,290.1,5954,23.53379349062,19.977039331051,28.7092649045135
151,"int",1,5,"Asselian","Ass",773,"#E36350",298.9,297.2,295.5,5954,22.9776578992008,21.0787865800508,28.7812620493198
49,"int",1,5,"Gzhelian","Gzh",27,"#CCD4C7",303.7,301.3,298.9,5954,23.0279901342033,26.3155270167811,30.8076928561187
50,"int",1,5,"Kasimovian","Kas",27,"#BFD0C5",307,305.35,303.7,5954,21.2939400661519,26.4609351294989,30.9360495259987
51,"int",1,5,"Moscovian","Mos",27,"#B3CBB9",315.2,311.1,307,5954,25.2738866617768,14.9651217819888,26.8272180197832
52,"int",1,5,"Bashkirian","Bas",27,"#99C2B6",323.2,319.2,315.2,5954,26.708013292075,26.0706198381483,30.4830835728541
53,"int",1,5,"Serpukhovian","Ser",28,"#BFC26B",330.9,327.05,323.2,5954,26.2207496859913,26.3797122531501,30.6174685266612
54,"int",1,5,"Visean","Vis",28,"#A6B96C",346.7,338.8,330.9,5954,34.5311506245624,26.1875585997924,30.4252627861126
55,"int",1,5,"Tournaisian","Tou",28,"#8CB06C",358.9,352.8,346.7,5954,29.8653076937,26.5436100487606,29.7589237482629
177,"int",1,5,"Famennian","Fam",56,"#F2EDC5",372.2,365.55,358.9,47900,30.4788533331372,23.4704821647427,28.5991978154783
178,"int",1,5,"Frasnian","Fra",56,"#F2EDAD",382.7,377.45,372.2,47900,28.0210607924541,21.3383795428698,27.9885445454668
179,"int",1,5,"Givetian","Giv",57,"#F1E185",387.7,385.2,382.7,47900,20.3362447937887,17.8004258665601,27.3110251839181
180,"int",1,5,"Eifelian","Eif",57,"#F1D576",393.3,390.5,387.7,47900,20.3834066942552,14.3678166581014,26.6073072868585
181,"int",1,5,"Emsian","Ems",58,"#E5D075",407.6,400.45,393.3,47900,25.9485448544074,10.9220456227665,25.9259217086938
182,"int",1,5,"Pragian","Pra",58,"#E5C468",410.8,409.2,407.6,47900,20.7962976064017,21.5110564549769,27.8004333172541
183,"int",1,5,"Lochkovian","Loc",58,"#E5B75A",419.2,415,410.8,47900,26.5858471448571,26.200807882228,29.4929304102124
3001,"int",1,5,"Pridoli","Pri",59,"#E6F5E1",423,421.1,419.2,47900,27.8282729468917,27.3413845413075,30.1878653723519
184,"int",1,5,"Ludfordian","Lud",60,"#D9F0DF",425.6,424.3,423,47900,25.7290614512327,27.3034166887815,30.1669062686507
185,"int",1,5,"Gorstian","Gor",60,"#CCECDD",427.4,426.5,425.6,47900,25.16807851264,26.8880221527776,29.9454146878247
785,"int",1,5,"Homerian","Hom",61,"#CCEBD1",430.5,428.95,427.4,47900,21.9475210829442,25.9875907008217,29.4519363386102
188,"int",1,5,"Sheinwoodian","She",61,"#BFE6C3",433.4,431.95,430.5,47900,21.4364125015492,26.0032698334318,29.3962426374991
189,"int",1,5,"Telychian","Tel",62,"#BFE6D1",438.5,435.95,433.4,47900,24.1071176621609,27.5376296341912,30.8146867962336
190,"int",1,5,"Aeronian","Aer",62,"#B3E1C2",440.8,439.65,438.5,47900,22.8154427594533,28.0770080474682,31.4237775974726
191,"int",1,5,"Rhuddanian","Rhu",62,"#A6DCB5",443.4,442.1,440.8,47900,20.468710463992,28.0839045255772,31.5680692114608
192,"int",1,5,"Hirnantian","Hir",29,"#A6DBAB",445.2,444.3,443.4,47900,17.1119789985249,27.0096661106561,30.5171271536365
1008,"int",1,5,"Katian","Kat",29,"#99D69F",453,449.1,445.2,47900,23.1913750096,26.8000316945593,30.015002518222
1009,"int",1,5,"Sandbian","San",29,"#8CD094",458.4,455.7,453,47900,23.4491408783037,27.4924183891216,30.2807675241117
556,"int",1,5,"Darriwilian","Dar",30,"#74C69C",467.3,462.85,458.4,47900,26.8067257924022,27.1240140773862,30.020633854814
1079,"int",1,5,"Dapingian","Dap",30,"#66C092",470,468.65,467.3,47900,27.7558268968251,24.935314032867,29.3018469569055
1010,"int",1,5,"Floian","Flo",31,"#41B087",477.7,473.85,470,47900,30.4628558761413,26.5754741900265,29.8778775972842
559,"int",1,5,"Tremadocian","Tre",31,"#33A97E",485.4,481.55,477.7,47900,37.653671933648,25.9676372121866,29.3209588501403
1112,"int",1,5,"Stage 10","Sta",780,"#E6F5C9",489.5,487.45,485.4,47900,NA,NA,NA
1113,"int",1,5,"Jiangshanian","Jia",780,"#D9F0BB",494,491.75,489.5,47900,NA,NA,NA
1114,"int",1,5,"Paibian","Pai",780,"#CCEBAE",497,495.5,494,47900,NA,NA,NA
1087,"int",1,5,"Guzhangian","Guz",1109,"#CCDFAA",500.5,498.75,497,47900,28.06667888208,16.788462974948,26.8121406922377
1116,"int",1,5,"Drumian","Dru",1109,"#BFD99D",504.5,502.5,500.5,47900,35.49550335232,28.0764816230255,32.0015443468242
1117,"int",1,5,"Stage 5","Sta",1109,"#B3D492",509,506.75,504.5,47900,NA,NA,NA
1118,"int",1,5,"Stage 4","Sta",1110,"#B3CA8E",514,511.5,509,47900,NA,NA,NA
1119,"int",1,5,"Stage 3","Sta",1110,"#A6C583",521,517.5,514,47900,NA,NA,NA
1120,"int",1,5,"Stage 2","Sta",1111,"#A6BA80",529,525,521,47900,NA,NA,NA
1121,"int",1,5,"Fortunian","For",1111,"#99B575",541,535,529,47900,NA,NA,NA
